"","itemname","mealtype","quantity","quantitytype","datesort"
"4202","Deli Bar Waste Module","",3.4,"Pound",671
"4224","Salad Bar Waste Module","",8.2,"Pound",674
"4225","Pumpkin Pancakes","",15,"Pound",675
"4231","Cuban Pork Loin","",4.1,"Pound",675
"4232","Cuban Yellow Rice","",3.3,"Pound",675
"4233","Corn","",1.8,"Pound",675
"4234","Tuscan Potatoes","",2.7,"Pound",675
"4235","Marinara Sauce","",3.4,"Pound",675
"4236","Meat Sauce","",2,"Pound",675
"4237","Pasta Saute Bar","",1.6,"Pound",675
"4238","Salad Bar Waste Module","",7.1,"Pound",675
"4239","Salad Dressing Waste Module","",2,"Pound",675
"4240","Deli Bar Waste Module","",4.8,"Pound",675
"4242","O'Brien Potatoes","",0.7,"Pound",677
"4243","Waffles","",1.2,"Pound",677
"4245","Stuffed Peppers w/ Couscous","",8,"Pound",677
"4248","Spanish Arroz Amarillo","",6.2,"Pound",677
"4249","2 oz. Chipotle Cheddar Corn Muffin","",4.7,"Pound",677
"4250","Autumn Medley","",5.3,"Pound",677
"4251","Chefs Choice Pasta du Jour","",2.9,"Pound",677
"4252","Meatballs with Marinara","",8.3,"Pound",677
"4253","Meat Sauce","",3.4,"Pound",677
"4254","Marinara Sauce","",4.2,"Pound",677
"4255","Sticky Rice","",10,"Pound",677
"4260","Crinkle Cut Fries","",1.2,"Pound",677
"4262","New York Style Cheesecake","",12,"Pound",677
"4266","Moroccan Couscous","",2.7,"Pound",678
"4267","Roasted Yukon Golds","",2.2,"Pound",678
"4268","Breakfast Potatoes","",3.1,"Pound",679
"4269","Chorizo Sausage & Potatoes","",4.6,"Pound",679
"4271","Meat Sauce","",2,"Pound",679
"4275","Boneless Chicken Romano","",3.3,"Pound",680
"4276","Basmati Rice","",4.4,"Pound",680
"4277","Beef Tender Picadillo","",1.7,"Pound",680
"4278","Roasted Yukon Golds","",4.2,"Pound",680
"4279","Steamed Broccoli","",2.2,"Pound",680
"4280","Falafel w/ Tahini","",5.1,"Pound",680
"4281","Tahini Dipping Sauce","",1.9,"Pound",680
"4282","Chefs Choice Pasta du Jour","",3.2,"Pound",680
"4283","Meat Sauce","",2.6,"Pound",680
"4284","Marinara Sauce","",4.1,"Pound",680
"4285","Honey Wheat Bread","",1.8,"Pound",680
"4286","Marinara Sauce","",1.1,"Pound",681
"4287","Meat Sauce","",2.6,"Pound",681
"4288","Pernil","",1.6,"Pound",681
"4289","Sauteed Kale","",0.8,"Pound",681
"4291","Brown Rice","",1.3,"Pound",681
"4292","Ranch Roasted Potatoes","",1.8,"Pound",681
"4293","Chefs Choice Pasta du Jour","",3.3,"Pound",681
"4294","Mashed Potatoes","",10.7,"Pound",683
"4295","Stove Top Stuffing","",20,"Pound",683
"4296","BBQ Chicken Drumsticks","",7,"Pound",683
"4297","Red Petite Potatoes w/Dill","",12,"Pound",683
"4298","Roasted Root Vegetables","",3,"Pound",683
"4299","Sticky Rice","",2.2,"Pound",683
"4300","Crispy Dijon Scrod","",1.7,"Pound",684
"4301","Baked Potatoes","",6.7,"Pound",684
"4302","Meat Sauce","",2.4,"Pound",684
"4303","Salad Bar Waste Module","",10.6,"Pound",684
"4304","Salad Dressing Waste Module","",6.2,"Pound",684
"4305","Marinara Sauce","",3.7,"Pound",684
"4306","Chefs Choice Pasta du Jour","",3.6,"Pound",684
"4307","Baked Beans","",3.1,"Pound",684
"4308","Baked Beans","",6.4,"Pound",684
"4309","Sticky Rice","",6.4,"Pound",684
"4310","Salad Bar Waste Module","",2,"Pound",685
"4312","Breakfast Potatoes","",1.9,"Pound",686
"4314","Cheese Stuffed Italian Meatloaf","",5.6,"Pound",686
"4315","Sauteed Vegetable Medley","",6,"Pound",686
"4316","Baked Ziti","",7,"Pound",686
"4317","Grilled Cheese","",5,"Pound",686
"4318","Grilled Hot Dogs","",5,"Pound",686
"4319","Linguini  with White Beans, Garlic & Herbs","",1,"Pound",687
"4320","Parslied Carrots","",0.2,"Pound",687
"4321","Meat Sauce","",0.5,"Pound",687
"4322","Chefs Choice Pasta du Jour","",0.5,"Pound",687
"4323","Corn","",0.8,"Pound",687
"4324","Bacon","",2,"Pound",688
"4333","Blended Burger No Bun","",5,"Pound",689
"4334","Grilled Chicken Cutlet","",2,"Pound",689
"4335","Pulled Pork","",2.5,"Pound",689
"4336","BBQ Baked Beans","",4.3,"Pound",689
"4337","Corn","",2.6,"Pound",689
"4338","Veggie Medley","",3.8,"Pound",689
"4339","Vegetable Lo Mein","",1.7,"Pound",689
"4340","Rice & Orzo Pilaf","",6.2,"Pound",689
"4341","Chefs Choice Pasta du Jour","",2.3,"Pound",689
"4342","Meat Sauce","",4.1,"Pound",689
"4343","Marinara Sauce","",1,"Pound",689
"4345","Grilled Hot Dogs","",10,"Pound",689
"4346","Pork Sausage Links","",5,"Pound",690
"4349","Hard Boiled Eggs","",20,"Pound",690
"4351","French Toast","",3.8,"Pound",691
"4352","Steamed Broccoli","",1.5,"Pound",691
"4353","Baked Chinese Chicken Wings","",3.2,"Pound",691
"4354","Chefs Choice Pasta du Jour","",3.3,"Pound",691
"4358","Meat Sauce","",3.6,"Pound",691
"4359","Marinara Sauce","",2.5,"Pound",691
"4360","Buttermilk Biscuit","",2.8,"Pound",691
"4364","Corned Beef Hash","",1,"Pound",692
"4371","Basmati Rice","",3,"Pound",694
"4373","Marinara Sauce","",4,"Pound",694
"4375","Green Beans w/ Garlic","",1,"Pound",694
"4380","Waffles","",10,"Pound",695
"4381","Buttermilk Pancakes","",3,"Pound",695
"4382","Chefs Choice Pasta du Jour","",3.6,"Pound",695
"4383","Mashed Potatoes","",3.9,"Pound",695
"4384","Meat Sauce","",3.1,"Pound",695
"4385","Peas","",4.2,"Pound",695
"4386","RoastedTurkey","",4.9,"Pound",695
"4388","Stove Top Stuffing","",3.2,"Pound",695
"4389","White Rice","",4.3,"Pound",695
"4391","Sticky Rice","",5,"Pound",696
"4393","Meat Sauce","",2,"Pound",695
"4395","Meat Sauce","",4,"Pound",696
"4396","Grilled Chicken Cutlet","",12,"Pound",696
"4399","Grilled Cheese","",2,"Pound",696
"4406","Cheddar Biscuits","",1.4,"Pound",698
"4407","Sticky Rice","",2.3,"Pound",698
"4408","Basmati Rice","",3.4,"Pound",698
"4409","Crispy Dijon Scrod","",1,"Pound",698
"4410","Tuscan White Beans","",2.6,"Pound",698
"4411","Pork Cutlet Piccata","",1.3,"Pound",698
"4412","Spinach Saute","",0.6,"Pound",698
"4413","Grilled Chicken Athena","",1.5,"Pound",698
"4414","Chefs Choice Pasta du Jour","",3.1,"Pound",698
"4415","Marinara Sauce","",1.7,"Pound",698
"4416","Mashed Ranch Potatoes","",10,"Pound",699
"4418","Green Beans","",5,"Pound",699
"4419","Meat Ravioli","",5,"Pound",699
"4420","Tofu Parmesan","",2,"Pound",699
"4421","Creole Rice & Beans","",5,"Pound",700
"4427","Meat Sauce","",4,"Pound",700
"4428","Salad Bar Waste Module","",8.7,"Pound",700
"4429","Salad Dressing Waste Module","",4.7,"Pound",700
"4432","Crinkle Cut Fries","",1.5,"Pound",700
"4434","Brown Gravy","",2,"Pound",701
"4435","Cider Braised Pot Roast","",20,"Pound",701
"4436","Marinara Sauce","",5,"Pound",701
"4437","White Rice","",5,"Pound",701
"4438","Marinara Sauce","",5,"Pound",701
"4439","Sugar & Spice Salmon","",1,"Pound",701
"4440","Pot Roast Potatoes","",20,"Pound",701
"4441","Pot Roast Potatoes","",5.6,"Pound",701
"4442","Brown Gravy","",6.2,"Pound",701
"4443","Sugar & Spice Salmon","",0.7,"Pound",701
"4444","White Rice","",6.2,"Pound",701
"4445","Steamed Broccoli","",3.9,"Pound",701
"4446","Wild Mushroom Risotto","",2.6,"Pound",701
"4447","Vegan Ravioli Caprese","",5.1,"Pound",701
"4448","Chefs Choice Pasta du Jour","",3.3,"Pound",701
"4449","Marinara Sauce","",2,"Pound",701
"4450","Meat Sauce","",2.5,"Pound",701
"4451","Dill Bread","",0.7,"Pound",701
"4452","Pork Sausage Links","",4.6,"Pound",702
"4453","French Toast Stix","",2.5,"Pound",702
"4454","Breakfast Potatoes","",5.9,"Pound",702
"4458","Brown Rice","",2.5,"Pound",702
"4459","Chicken and Sausage Gumbo","",4.2,"Pound",702
"4460","Bourbon & Black Strap Sweet Potatoes","",1.5,"Pound",702
"4461","Chefs Choice Pasta du Jour","",3.4,"Pound",702
"4462","Meat Sauce","",0.9,"Pound",702
"4463","Marinara Sauce","",2.2,"Pound",702
"4464","Sauteed Kale","",1.2,"Pound",702
"4470","Pea and Potato Samosa","",1.7,"Pound",704
"4471","Basmati Rice","",2,"Pound",704
"4472","West Indian Braised Pork Chop","",4.6,"Pound",704
"4473","Vegetable Korma","",2.1,"Pound",704
"4474","Sticky Rice","",7.6,"Pound",704
"4475","Naan Bread","",1.3,"Pound",704
"4476","Steamed Broccoli","",1.6,"Pound",704
"4477","Chefs Choice Pasta du Jour","",2.9,"Pound",704
"4478","Marinara Sauce","",4.2,"Pound",704
"4479","Meat Sauce","",2.1,"Pound",704
"4485","Chicken Rustica","",2.6,"Pound",705
"4486","Honey Roasted Parsnips & Sweet Potatoes","",3,"Pound",705
"4487","Spanish Arroz Amarillo","",6.5,"Pound",705
"4488","Autumn Medley","",3.3,"Pound",705
"4489","Shrimp Quesadilla","",3.4,"Pound",705
"4490","Sticky Rice","",4.9,"Pound",705
"4491","2 oz. Chipotle Cheddar Corn Muffin","",2.9,"Pound",705
"4492","Stuffed Peppers w/ Couscous","",2,"Pound",705
"4493","Spaghetti","",2.1,"Pound",705
"4494","Meatballs with Marinara","",3.2,"Pound",705
"4495","Marinara Sauce","",1.9,"Pound",705
"4496","Meat Sauce","",2.2,"Pound",705
"4500","Swedish Meatballs","",3,"Pound",707
"4501","Green Beans w/ Garlic","",2,"Pound",707
"4502","Sticky Rice","",1,"Pound",707
"4503","Meat Sauce","",3,"Pound",707
"4504","Marinara Sauce","",3,"Pound",707
"4509","Curley Fries","",1.5,"Pound",708
"4511","Steamed Broccoli","",2,"Pound",708
"4512","Roasted Yukon Golds","",3,"Pound",708
"4513","Boneless Chicken Romano","",5,"Pound",708
"4514","Falafel w/ Tahini","",7,"Pound",708
"4515","Meat Sauce","",0.5,"Pound",708
"4516","Basmati Rice","",6,"Pound",708
"4517","Honey Wheat Bread","",1,"Pound",708
"4518","Marinara Sauce","",0.5,"Pound",708
"4519","Strawberry Pancakes","",6,"Pound",709
"4520","Frittata (basic)","",30,"Pound",709
"4525","Black Beans & Rice","",3.4,"Pound",709
"4526","Creamy Spinach & Sun Dried Tomato Whole Wheat Penne","",8.9,"Pound",709
"4527","Fresh Roasted Carrots","",1.3,"Pound",709
"4528","Pernil","",2.7,"Pound",709
"4529","Ranch Roasted Potatoes","",1.1,"Pound",709
"4532","Fried Chicken Nuggets","",15,"Pound",710
"4533","Chefs Choice Pasta du Jour","",10,"Pound",710
"4534","Sticky Rice","",10,"Pound",710
"4535","Chefs Choice Pasta du Jour","",10,"Pound",710
"4536","Grilled Guinness Bratwurst","",5,"Pound",710
"4537","Breakfast Potatoes","",20,"Pound",710
"4541","Crinkle Cut Fries","",1,"Pound",710
"4551","Hard Boiled Eggs","",20,"Pound",714
"4552","Buttermilk Pancakes","",6,"Pound",714
"4553","Breakfast Potatoes","",10,"Pound",714
"4554","Marinara Sauce","",0.5,"Pound",714
"4555","Cheese Stuffed Italian Meatloaf","",4,"Pound",714
"4557","White Rice","",0.6,"Pound",714
"4558","Smashed Yukon Gold Potatoes","",2.3,"Pound",714
"4559","Baked Ziti","",3.6,"Pound",714
"4571","Crinkle Cut Fries","",2.3,"Pound",715
"4573","Parslied Carrots","",12,"Pound",715
"4576","Scrod w/ Fresh Dill","",4,"Pound",715
"4577","Basmati Rice","",3.5,"Pound",715
"4581","Roasted Yukon Golds","",5.6,"Pound",716
"4582","Sauteed Beef Tips","",1,"Pound",716
"4585","Marinara Sauce","",2.9,"Pound",716
"4587","Banana Pancakes","",0,"Pound",716
"4590","Tortellini with Roasted Pepper Tomato Sauce","",12,"Pound",717
"4592","Rice & Orzo Pilaf","",8,"Pound",717
"4601","Pork Sausage Links","",3,"Pound",718
"4604","Marinara Sauce","",2.6,"Pound",718
"4606","Grilled Hot Dogs","",1,"Pound",718
"4607","Grilled Chicken Cutlet","Dinner",6,"Pound",729
"4608","Sticky Rice","Dinner",4,"Pound",729
"4609","Vegan Ravioli Caprese","Dinner",14,"Pound",729
"4610","Grilled Hot Dogs","Dinner",2,"Pound",729
"4611","Grilled Cheese","Dinner",0.3,"Pound",729
"4612","Brown Gravy","Dinner",5,"Pound",729
"4613","Cider Braised Pot Roast","Dinner",5.6,"Pound",729
"4614","White Rice","Dinner",11.4,"Pound",729
"4615","Marinara Sauce","Dinner",4,"Pound",729
"4616","Meat Sauce","Dinner",8.8,"Pound",729
"4621","Meat Sauce","Lunch",15,"Pound",730
"4624","Meat Sauce","Dinner",8,"Pound",731
"4635","Deli Bar Waste Module","Dinner",8.1,"Pound",733
"4636","Salad Dressing Waste Module","Dinner",7.1,"Pound",733
"4637","Stuffed Peppers w/ Couscous","Dinner",1,"Pound",733
"4638","Spanish Arroz Amarillo","Dinner",10.8,"Pound",733
"4639","Shrimp Quesadilla","Dinner",0.2,"Pound",733
"4640","Autumn Medley","Dinner",3.4,"Pound",733
"4641","Chicken Rustica","Dinner",7.2,"Pound",733
"4642","Honey Roasted Parsnips & Sweet Potatoes","Dinner",7.4,"Pound",733
"4643","Meatballs with Marinara","Dinner",9.8,"Pound",733
"4644","Spaghetti","Dinner",5.4,"Pound",733
"4645","Marinara Sauce","Dinner",7.6,"Pound",733
"4646","Marinara Sauce","Dinner",2.4,"Pound",733
"4647","2 oz. Chipotle Cheddar Corn Muffin","Dinner",5,"Pound",733
"4653","Marinara Sauce","Dinner",2,"Pound",735
"4654","Sticky Rice","Dinner",1,"Pound",735
"4656","Swedish Meatballs","Dinner",4,"Pound",735
"4657","White Rice","Dinner",1,"Pound",735
"4660","Curley Fries","Dinner",0.5,"Pound",736
"4661","Roasted Red Dill Potatoes","Dinner",10,"Pound",736
"4666","Country Style Hash Browns","Breakfast",4,"Pound",737
"4667","Pork Sausage Links","Breakfast",3.2,"Pound",737
"4668","Frittata (basic)","Breakfast",5,"Pound",737
"4669","Beef For French Dip","Lunch",1,"Pound",737
"4670","Brown Sauce","Lunch",7,"Pound",737
"4671","White Bean & Butternut Stew","Lunch",15.2,"Pound",737
"4672","Marinara Sauce","Lunch",3.7,"Pound",737
"4673","Meat Sauce","Lunch",5,"Pound",737
"4674","Roasted Summer Vegetables","Lunch",12.1,"Pound",737
"4676","Spanish Rice","Dinner",3.5,"Pound",738
"4677","Beef Brisket Tacos","Dinner",3.3,"Pound",738
"4678","Lentil Taco in a Hard Shell","Dinner",4.2,"Pound",738
"4679","Meat Sauce","Dinner",2.1,"Pound",738
"4680","Nacho Cheese Sauce","Dinner",1.4,"Pound",738
"4681","Marinara Sauce","Dinner",1.2,"Pound",738
"4688","Steamed Broccoli","Dinner",6.8,"Pound",740
"4690","Straight Cut French Fries","Dinner",0.5,"Pound",740
"4694","Broccoli Stromboli","Dinner",0.8,"Pound",741
"4695","Sticky Rice","Dinner",1.5,"Pound",741
"4696","Chicken Piccata","Dinner",2.5,"Pound",741
"4697","Soy-Maple Salmon","Dinner",2,"Pound",741
"4698","Roasted Garlic Potatoes","Dinner",4,"Pound",741
"4700","Brown Gravy","Dinner",5,"Pound",742
"4701","Cheese Stuffed Italian Meatloaf","Dinner",4,"Pound",742
"4703","Meat Sauce","Dinner",2,"Pound",742
"4704","Marinara Sauce","Dinner",1,"Pound",742
"4708","Sweet Potato Fries","Dinner",2.5,"Pound",742
"4721","Crinkle Cut Fries","Dinner",8,"Pound",743
"4731","Straight Cut French Fries","Dinner",23,"Pound",744
"4747","Slow Cooked Barbeque Beef Brisket","Dinner",3,"Pound",746
"4749","Vegan Dragon Rice","Dinner",16.8,"Pound",747
"4750","Roasted Garlic Potatoes","Dinner",5,"Pound",747
"4751","Ranch Chicken Wings","Dinner",3.6,"Pound",747
"4752","Steamed Broccoli","Dinner",6.8,"Pound",747
"4753","Blended Burger No Bun","Dinner",2,"Pound",747
"4756","Buffalo Wings","Dinner",10,"Pound",747
"4757","Baked Chinese Chicken Wings","Dinner",6.8,"Pound",747
"4758","Meat Sauce","Dinner",7.8,"Pound",747
"4759","Marinara Sauce","Dinner",5.8,"Pound",747
"4760","BBQ Chicken Sandwich","Lunch",2.6,"Pound",748
"4761","Corned Beef Hash","Lunch",3.6,"Pound",748
"4762","Cheese Blintzes","Lunch",1.4,"Pound",748
"4763","Autumn Medley","Dinner",10,"Pound",748
"4766","Puerto Rican Rice & Beans","Dinner",5,"Pound",748
"4771","Crinkle Cut Fries","Dinner",1.5,"Pound",748
"4775","Meat Sauce","Dinner",1,"Pound",749
"4776","Marinara Sauce","Dinner",1,"Pound",749
"4777","Potato Bar Toppings","Dinner",1,"Pound",749
"4778","Grilled Hot Dogs","Dinner",1,"Pound",749
"4799","Marinara Sauce","Dinner",15,"Pound",751
"4808","Basmati Rice Pilaf","Dinner",5,"Pound",752
"4812","Meat Sauce","Dinner",2,"Pound",752
"4815","Scrambled Eggs","Breakfast",2.9,"Pound",753
"4821","Vegetable Egg Rolls","Dinner",4,"Pound",753
"4822","Grilled Chicken Cutlet","Dinner",6,"Pound",753
"4824","Buttermilk Pancakes","Breakfast",30,"Pound",757
"4825","Scrambled Eggs","Breakfast",15,"Pound",757
"4826","Waffles","Breakfast",10,"Pound",757
"4827","Cream of Wheat","Breakfast",20,"Pound",757
"4828","Frittata (basic)","Breakfast",6,"Pound",757
"4835","Straight Cut French Fries","Dinner",2.3,"Pound",758
"4838","Marinara Sauce","Dinner",3,"Pound",758
"4850","Butter-Crumb Scrod","Lunch",4,"Pound",760
"4851","Parslied Carrots","Lunch",4,"Pound",760
"4858","Marinara Sauce","Dinner",10,"Pound",761
"4860","Meat Sauce","Dinner",6,"Pound",761
"4861","Sticky Rice","Dinner",19,"Pound",761
"4871","Beef Tender Picadillo","Dinner",5,"Pound",764
"4874","Meat Sauce","Dinner",5,"Pound",764
"4875","Sticky Rice","Dinner",10,"Pound",764
"4876","Roasted Yukon Golds","Dinner",5,"Pound",764
"4882","Creamy Spinach & Sun Dried Tomato Whole Wheat Penne","Dinner",6,"Pound",765
"4884","Ranch Roasted Potatoes","Dinner",4,"Pound",765
"4885","Fresh Roasted Carrots","Dinner",5.4,"Pound",765
"4886","Meat Sauce","Dinner",4.6,"Pound",765
"4887","Pernil","Dinner",3.5,"Pound",765
"4888","Marinara Sauce","Dinner",4.2,"Pound",765
"4892","Mashed Potatoes","Lunch",14,"Pound",767
"4893","Sticky Rice","Lunch",4.7,"Pound",767
"4894","RoastedTurkey","Lunch",5.2,"Pound",767
"4901","Cheese Stuffed Italian Meatloaf","Dinner",2,"Pound",770
"4902","Grilled Italian Chicken","Dinner",16,"Pound",770
"4903","Baked Ziti","Dinner",3,"Pound",770
"4910","Basmati Rice","Dinner",5,"Pound",771
"4911","Brown Gravy","Dinner",4,"Pound",771
"4912","Linguini  with White Beans, Garlic & Herbs","Dinner",3,"Pound",771
"4913","Mashed Potatoes","Dinner",1,"Pound",771
"4916","Bacon","Breakfast",15,"Pound",772
"4920","Straight Cut French Fries","Dinner",5,"Pound",772
"4934","Baked Chicken Fillet","Lunch",6,"Pound",775
"4935","Corn","Lunch",4.2,"Pound",775
"4941","Frittata (basic)","Breakfast",2,"Pound",1031
"4942","Cream of Wheat","Breakfast",1.8,"Pound",1031
"4943","Scrambled Eggs","Breakfast",1,"Pound",1031
"4944","Buttermilk Pancakes","Breakfast",3,"Pound",1031
"4945","Breakfast Potatoes","Breakfast",2,"Pound",1031
"4946","Frittata (basic)","Breakfast",1,"Pound",1030
"4947","Oatmeal Hot Cereal","Breakfast",1.2,"Pound",1030
"4948","NOT SO CRABBY Vegan Crab Cakes","Dinner",4,"Pound",1030
"4949","Three Cheese Enchiladas","Dinner",4,"Pound",1030
"4950","Honey Lime Sweet Potato","Lunch",0,"Pound",1030
"4951","Fiesta Lime Chicken","Lunch",2,"Pound",1030
"4952","Cavatappi with Vegetables","Lunch",0.5,"Pound",1030
"4953","Green Fiesta Rice","Lunch",4,"Pound",1030
"4954","Seafood Stuffed Scrod","Lunch",2,"Pound",1030
"4955","Aztec Vegetables","Lunch",1,"Pound",1030
"4956","Scrambled Eggs","Breakfast",0,"Pound",1030
"4957","Buttermilk Pancakes","Breakfast",4,"Pound",1030
"4958","Frittata (basic)","Breakfast",1,"Pound",1030
"4959","Oatmeal Hot Cereal","Breakfast",1,"Pound",1030
"4960","Cream of Wheat","Breakfast",4,"Pound",1032
"4961","Scrambled Eggs","Breakfast",1.5,"Pound",1032
"4962","Frittata (basic)","Breakfast",3,"Pound",1032
"4963","Oatmeal Hot Cereal","Breakfast",3,"Pound",1032
"4964","Salad Dressing Waste Module","Dinner",3,"Pound",1032
"4965","Marinara Sauce","Lunch",3,"Pound",1032
"4966","Meat Sauce","Lunch",3,"Pound",1032
"4967","Burrito w/ Black Bean and Yams","Lunch",7,"Pound",1032
"4968","Chefs Choice Pasta du Jour","Dinner",5,"Pound",1032
"4969","Meat Sauce","Dinner",5,"Pound",1032
"4970","Sauteed Kale","Dinner",1.2,"Pound",1032
"4971","Deli Bar Waste Module","Dinner",7.8,"Pound",1032
"4972","OBrien Potatoes","Breakfast",4.8,"Pound",1033
"4973","Marinara Sauce","Dinner",4.2,"Pound",1033
"4974","Meat Sauce","Dinner",6,"Pound",1033
"4975","Chefs Choice Pasta du Jour","Dinner",6,"Pound",1033
"4976","Roasted Red Dill Potatoes","Dinner",6.4,"Pound",1033
"4977","Grilled Chicken Breast","Dinner",3,"Pound",1033
"4978","Grilled Hot Dogs","Dinner",1,"Pound",1033
"4979","Baked Beans","Lunch",4.8,"Pound",1034
"4980","Baked Vegan Sesame Nuggets","Lunch",1,"Pound",1034
"4981","Buffalo Cauliflower","Lunch",2,"Pound",1034
"4982","Crispy Dijon Scrod","Dinner",1,"Pound",1035
"4983","Tuscan White Beans","Dinner",1.5,"Pound",1035
"4984","Roasted Vegetable Red Lentil Pasta","Dinner",3.5,"Pound",1035
"4985","Salad Bar Waste Module","Dinner",18.4,"Pound",1035
"4986","Mashed Ranch Potatoes","Dinner",8.8,"Pound",1035
"4987","Roasted Chicken Thigh","Dinner",0.25,"Pound",1035
"4988","Rice Pilaf","Dinner",4.6,"Pound",1035
"4989","Mashed Ranch Potatoes","Dinner",1.5,"Pound",1035
"4990","Tortilla Crusted Scrod","Dinner",5,"Pound",1035
"4991","Tortilla Crusted Scrod","Dinner",0.5,"Pound",1036
"4992","Roasted Cauliflower","Dinner",0.5,"Pound",1036
"4993","Tofu Parmesan","Dinner",0.5,"Pound",1036
"4994","Meat Sauce","Dinner",2,"Pound",1036
"4995","Grilled Chicken Breast","Dinner",2,"Pound",1036
"4996","Grilled Cheese","Dinner",0.25,"Pound",1037
"4997","Crinkle Cut Fries","Dinner",5,"Pound",1037
"4998","Beef Gravy","Dinner",2,"Pound",1037
"4999","Mushroom Bulgogi Tacos","Dinner",1,"Pound",1037
"5000","Sticky Rice","Dinner",2.3,"Pound",1037
"5001","New Orleans Scrod","Dinner",1.8,"Pound",1037
"5002","Creole Rice & Beans","Dinner",7,"Pound",1037
"5003","Peas","Dinner",5,"Pound",1037
"5007","Scrambled Eggs","Breakfast",0,"Pound",1037
"5008","Scrambled Eggs","Breakfast",2,"Pound",1037
"5009","Buttermilk Pancakes","Breakfast",3.44,"Pound",1037
"5010","Scrambled Eggs","Breakfast",3,"Pound",1038
"5011","Blueberry Pancakes","Breakfast",4,"Pound",1038
"5012","Frittata (basic)","Breakfast",3,"Pound",1038
"5013","Bacon","Breakfast",2,"Pound",1038
"5014","French Toast","Breakfast",2.4,"Pound",1040
"5015","Blueberry Pancakes","Breakfast",3,"Pound",1040
"5016","Brown Rice","Lunch",3,"Pound",1040
"5017","Chefs Choice Pasta du Jour","Lunch",2.2,"Pound",1040
"5018","Basmati Rice","Dinner",0.5,"Pound",1040
"5019","Chickpea Rotini With Cajun Cream Sauce","Dinner",1.7,"Pound",1040
"5020","Meat Sauce","Dinner",1.5,"Pound",1041
"5021","Deli Bar Waste Module","Dinner",1.5,"Pound",1041
"5022","Salad Bar Waste Module","Dinner",12.2,"Pound",1041
"5023","Scrambled Eggs","Breakfast",5.6,"Pound",1041
"5024","Buttermilk Pancakes","Breakfast",3,"Pound",1041
"5025","OBrien Potatoes","Breakfast",3,"Pound",1041
"5026","Frittata (basic)","Breakfast",3.2,"Pound",1041
"5027","Oatmeal Hot Cereal","Breakfast",7.4,"Pound",1041
"5028","Baked Scrod with Chili Lime Butter","Lunch",3,"Pound",1039
"5029","Red Lentil Penne & Veggies in Wine Sauce","Lunch",3,"Pound",1039
"5030","Tamarind Glazed Salmon","Dinner",6,"Pound",1040
"5031","Taco Bar","Dinner",2.5,"Pound",1041
"5032","Grilled Hot Dogs","Dinner",7,"Pound",1041
"5033","Crinkle Cut Fries","Dinner",4,"Pound",1041
"5034","Grilled Chicken Breast","Dinner",5,"Pound",1041
"5035","Grilled Cheese","Dinner",2,"Pound",1041
"5036","Frittata (basic)","Breakfast",3,"Pound",1045
"5037","Strawberry Pancakes","Breakfast",0,"Pound",1045
"5038","Italian Sausage Links","Lunch",7,"Pound",1044
"5039","Southwest Vegetable Wrap","Lunch",3,"Pound",1044
"5040","Sauteed Peppers","Lunch",8,"Pound",1044
"5041","Roasted Yukon Golds","Dinner",2.1,"Pound",1044
"5042","Basmati Rice","Dinner",4.1,"Pound",1044
"5043","Deli Bar Waste Module","Dinner",1.5,"Pound",1043
"5044","Ranch Roasted Potatoes","Dinner",3,"Pound",1043
"5045","Black Beans & Rice","Dinner",12,"Pound",1046
"5046","Pernil","Dinner",8,"Pound",1046
"5047","Stir Fry Bar","Dinner",5.7,"Pound",1046
"5048","Cheese Pizza","Dinner",6.4,"Pound",1046
"5049","Buttermilk Pancakes","Breakfast",4.8,"Pound",1046
"5050","Chocolate Chip Pancakes","Breakfast",1.2,"Pound",1046
"5051","Frittata (basic)","Breakfast",2.2,"Pound",1046
"5052","Scrambled Eggs","Breakfast",2.8,"Pound",1046
"5053","Breakfast Potatoes","Breakfast",4.8,"Pound",1046
"5054","Apple Pancakes","Breakfast",4.6,"Pound",1047
"5055","Apple Pancakes","Breakfast",3.6,"Pound",1047
"5056","Frittata (basic)","Breakfast",7,"Pound",1047
"5061","French Toast Stix","Breakfast",2.2,"Pound",1048
"5062","Scrambled Eggs","Breakfast",3,"Pound",1048
"5063","Blueberry Pancakes","Breakfast",1.2,"Pound",1048
"5064","OBrien Potatoes","Breakfast",4.8,"Pound",1048
"5065","Frittata (basic)","Breakfast",2.2,"Pound",1048
"5066","Straight Cut French Fries","Dinner",0.3,"Pound",1048
"5067","Grilled Hot Dogs","Dinner",14,"Pound",1048
"5068","Grilled Chicken Breast","Dinner",2,"Pound",1048
"5069","Home Fries","Breakfast",3.6,"Pound",1051
"5070","Buttermilk Pancakes","Breakfast",2.6,"Pound",1051
"5071","Turkey Sausage Links","Breakfast",1.8,"Pound",1051
"5072","Frittata (basic)","Breakfast",6.4,"Pound",1051
"5073","Marinara Sauce","Dinner",2,"Pound",1050
"5074","Meat Sauce","Dinner",3,"Pound",1050
"5075","Brown Rice","Dinner",4,"Pound",1050
"5076","Deli Bar Waste Module","Dinner",3.8,"Pound",1050
"5077","Sweet Potato Fries","Dinner",5,"Pound",1050
"5079","Buttermilk Pancakes","Breakfast",3.4,"Pound",1052
"5080","Scrambled Eggs","Breakfast",8.2,"Pound",1052
"5081","Scrambled Eggs","Breakfast",3.6,"Pound",1052
