,Frequency,Location,PLU,ItemName,Most_Recent_LoggedDate
247,162,Hingham,46000057364,Vegetable Korma,2019-12-15
248,156,Hingham,46000016509,New England Clam Chowder,2019-12-15
249,145,Hingham,46000020867,Loaded Cheeseburger Macaroni & Cheese,2019-12-14
250,135,Hingham,46000018496,Beef Chili with Beans,2019-12-15
251,125,Hingham,46000026987,Garlic Herb Chicken Thighs,2019-11-17
252,120,Hingham,46000016512,Tomato Parmesan Soup,2019-12-13
253,115,Hingham,46000064571,Lemon Dill Pollock,2019-12-15
254,106,Hingham,46000030026,Roasted Salt & Pepper Turkey Breast & Gravy,2019-12-15
255,102,Hingham,46000018499,Lentil Dal & Spinach Soup,2019-12-15
256,101,Hingham,46000030555,Red Pepper Fried Rice,2019-12-11
257,98,Hingham,46000060421,Creamy Mashed Potatoes,2019-12-15
