PLU,Item_Name,min
46000007360,Organic Fresh Fields Greens,2019-10-01
46000055923,Baby Spinach,2019-10-01
46000007475,VEGETABLE RICED CONFETTI SB,2019-10-01
46000055917,Radishes,2019-10-01
46000055914,QUINOA WHITE CV SB,2019-10-01
46000055913,QUINOA OG SB,2019-10-01
46000055913,Organic Quinoa,2019-10-01
46000007476,Zucchini ,2019-10-01
46000055911,Red Quinoa,2019-10-01
46000055911,Red & White Quinoa,2019-10-01
46000055903,Pineapple,2019-10-01
46000056506,Roasted Garlic,2019-10-01
46000056506,Roasted Garlic ,2019-10-01
46000056602,SPINACH STEAMED HB,2019-10-01
46000058366,Curry Chicken,2019-10-01
46000059666,DIP TZATZIKI SB,2019-10-01
46000059427,Snow Peas,2019-10-01
46000004910,Beef Chili,2019-10-01
46000059425,Roasted Red Peppers,2019-10-01
46000059365,OLIVES CITRUS MARINATED,2019-10-01
46000059365,Citrus Marinated Olives,2019-10-01
46000058735,Dolmas,2019-10-01
46000058734,Hearts Of Palm,2019-10-01
46000007289,"Chicken, Baked Texas BBQ",2019-10-01
46000058486,Prosciutto Roasted Brussels Sprouts,2019-10-01
46000058382,Breakfast Potatoes,2019-10-01
46000058346,Chickpea Salad,2019-10-01
46000007334,Grilled Peppers,2019-10-01
46000007290,Curried Cauliflower,2019-10-01
46000057669,Buttered Cabbage,2019-10-01
46000057614,Roasted Brussel Sprouts,2019-10-01
46000007332,Grilled Eggplant,2019-10-01
46000057583,Potato Samosa,2019-10-01
46000057474,Mashed Potatoes,2019-10-01
46000057444,Lemon Rice,2019-10-01
46000057439,Chicken Tikka Masala,2019-10-01
46000057364,Vegetable Korma,2019-10-01
46000057221,VEGETABLES GRILLED HB,2019-10-01
46000007333,Grilled Fennel,2019-10-01
46000059426,Snap Peas,2019-10-01
46000063681,TOMATO GRAPE SB OG,2019-10-01
46000004909,Turkey Chili,2019-10-01
46000064903,Bacon Bits,2019-10-01
46000064891,Steamed Broccoli,2019-10-01
46000064890,Green Beans with Roasted Garlic ,2019-10-01
46000064890,Green Beans with Roasted Garlic,2019-10-01
26740400000,Broccoli with Chilis,2019-10-01
26747000000,Cajun Wedged Sweet Potatoes ,2019-10-01
26887100000,Garlic Teriyaki Tofu,2019-10-01
27074300000,Broccoli Crunch,2019-10-01
46000064881,FRENCH TOAST CHALLAH HB,2019-10-01
27089400000,Grilled Salmon,2019-10-01
46000064878,Waffle Fries,2019-10-01
46000064878,"Fries, Waffle",2019-10-01
46000064785,Falafel,2019-10-01
46000064784,SWEET POTATO ROASTED HB,2019-10-01
46000064784,Roasted Sweet Potatoes,2019-10-01
46000064784,Roasted Sweet Potato,2019-10-01
46000064783,Grilled Tofu,2019-10-01
46000064782,Eggless Tofu Salad,2019-10-01
46000064658,Sesame Chicken Salad,2019-10-01
46000064656,Salad Chicken Roasted Garlic Asparagus,2019-10-01
46000064603,Golden Sesame Tofu ,2019-10-01
46000064603,Golden Sesame Tofu,2019-10-01
46000064602,Garlic Green Beans,2019-10-01
46000064581,Grilled zucchini,2019-10-01
46000064903,BACON BITS SB,2019-10-01
46000064940,EGGS SCRAMBLED HB,2019-10-01
46000062848,Roasted Tomatoes,2019-10-01
46000064940,Scrambled Eggs,2019-10-01
22593200000,Maria's Beef Meatballs ,2019-10-01
22785600000,Breaded Chicken Tender,2019-10-01
22832300000,SALAD GREEN AND GIGANDE BEAN,2019-10-01
23527800000,CARROT HARISSA SALAD CC,2019-10-01
24249500000,Italian Style Roast Beef,2019-10-01
26104100000,Fuji Tuna Salad,2019-10-01
26120900000,Garlic Parmesan Pasta,2019-10-01
48000037963,PICO DE GALLO MILD,2019-10-01
26139600000,Heirloom Tomato Kale Orzo Salad,2019-10-01
48000018567,Gigande Beans Salad,2019-10-01
48000009810,CROUTONS GARLIC BUTTER,2019-10-01
26139600000,ORZO SALAD HEIRLOOM TOMATO KALE CC,2019-10-01
48000006773,CABBAGE GRN CRRT SHRD 4/5LB OG,2019-10-01
26278000000,Buffalo Tofu,2019-10-01
48000004789,CORN TORTILLA CHIPS,2019-10-01
26488200000,Steel Cut Oatmeal,2019-10-01
46000065097,Sausage Patties ,2019-10-01
46000065097,Sausage Patties,2019-10-01
46000065008,Turkey Bacon ,2019-10-01
46000065008,Turkey Bacon,2019-10-01
46000065008,BACON TURKEY COOKED HB,2019-10-01
26490600000,Ham & Egg Sandwich,2019-10-01
46000064980,Tomato Olive Chicken,2019-10-01
27470100000,Roast Beef,2019-10-01
46000064579,Grilled Tomato,2019-10-01
46000064578,American Chop Suey,2019-10-01
27489000000,KALE SESAME GINGER CC,2019-10-01
46000063908,Hearts of Palm Salad,2019-10-01
46000063907,Carrot Harissa Salad,2019-10-01
46000063826,HUEVOS RANCHEROS HB,2019-10-01
28887900000,Curry Chicken Salad,2019-10-01
46000063821,Pumpkin Pancakes,2019-10-01
29952300000,Roasted Garlic,2019-10-01
46000000782,Cranberry Walnut Kale Salad,2019-10-01
46000063819,Blueberry Lemon Pancakes,2019-10-01
46000001661,Plantains,2019-10-01
46000063816,SAUSAGE BREAKFAST LINKS HB,2019-10-01
46000063809,OATMEAL STEEL CUT CINNAMON RAISIN HB,2019-10-01
46000003326,Falafel,2019-10-01
46000063808,OATMEAL STEEL CUT COCONUT MILK HB,2019-10-01
46000063712,Bangkok Wings,2019-10-01
46000003328,Spinach Feta Orzo,2019-10-01
46000063711,Garlic Parmesan Chicken Wings,2019-10-01
46000003438,Sweet & Spicy Kale Pad Thai,2019-10-01
46000063709,Buffalo Wings,2019-10-01
46000063709,Buffalo Chicken Wings,2019-10-01
46000055893,Organic Peas,2019-10-01
46000003990,"Macaroni & Cheese, Buffalo Bleu",2019-10-01
46000063050,Spring Mix,2019-10-01
46000062848,TOMATOES ROASTED HB,2019-10-01
46000063949,Sonoma Chicken Salad,2019-10-01
28796400000,Sante Fe Turkey Tips,2019-10-01
46000064022,Mesclun Goat Cheese Salad,2019-10-01
27994400000,Beets w/ Sherry Vinaigrette,2019-10-01
27661300000,Bistro Pasta Salad ,2019-10-01
