,Pan_ID,PLU,0
569,110.0,46000059365,1
570,110.0,46000059426,5
571,110.0,46000060285,10
572,110.0,46000063050,6
573,110.0,46000064022,8
574,110.0,46000064399,11
575,110.0,46000064401,11
576,110.0,46000064603,10
577,110.0,46000064783,3
578,111.0,26120900000,6
579,111.0,27661300000,4
580,111.0,27661900000,5
581,111.0,27848700000,4
582,111.0,27994400000,1
583,111.0,28452000000,8
584,111.0,46000001661,1
585,111.0,46000003326,5
586,111.0,46000003438,3
587,111.0,46000006607,6
588,111.0,46000007476,2
589,111.0,46000007477,1
590,111.0,46000007609,4
591,111.0,46000008996,1
592,111.0,46000010550,4
593,111.0,46000013170,4
594,111.0,46000015079,3
595,111.0,46000018400,4
596,111.0,46000018433,2
597,111.0,46000021385,1
598,111.0,46000022419,1
599,111.0,46000024072,1
600,111.0,46000024075,3
601,111.0,46000024076,2
602,111.0,46000024077,1
603,111.0,46000024079,2
604,111.0,46000024081,2
605,111.0,46000024575,7
606,111.0,46000025181,3
607,111.0,46000055714,7
608,111.0,46000055729,2
609,111.0,46000055736,6
610,111.0,46000055744,5
611,111.0,46000055747,6
612,111.0,46000055768,7
613,111.0,46000055793,5
614,111.0,46000055807,3
615,111.0,46000055812,5
616,111.0,46000055820,4
617,111.0,46000055827,6
618,111.0,46000055832,4
619,111.0,46000055834,1
620,111.0,46000055836,4
621,111.0,46000055842,6
622,111.0,46000055848,5
623,111.0,46000055863,2
624,111.0,46000055892,4
625,111.0,46000055903,4
626,111.0,46000055911,5
627,111.0,46000055923,3
628,111.0,46000055938,5
629,111.0,46000055943,6
630,111.0,46000056506,6
631,111.0,46000058382,1
632,111.0,46000058735,7
633,111.0,46000059365,4
634,111.0,46000059425,10
635,111.0,46000059426,6
636,111.0,46000059671,4
637,111.0,46000059699,1
638,111.0,46000059700,1
639,111.0,46000060011,1
640,111.0,46000063050,2
641,111.0,46000063819,1
642,111.0,46000064399,1
643,111.0,46000064401,1
644,111.0,46000064603,1
645,111.0,46000064783,6
646,111.0,46000064784,1
647,111.0,46000064940,1
648,111.0,46000065008,1
649,111.0,46000065097,1
650,160.0,00449791900,3
651,160.0,23527800000,1
652,160.0,27110600000,1
653,160.0,27489000000,2
654,160.0,27848700000,1
655,160.0,28452000000,9
656,160.0,46000003326,7
657,160.0,46000003438,1
658,160.0,46000003990,2
659,160.0,46000004909,1
660,160.0,46000006607,34
661,160.0,46000007582,5
662,160.0,46000007600,15
663,160.0,46000008373,1
664,160.0,46000008996,26
665,160.0,46000010140,3
666,160.0,46000010510,4
667,160.0,46000010550,1
668,160.0,46000010703,1
669,160.0,46000012679,2
670,160.0,46000013171,7
671,160.0,46000015079,2
672,160.0,46000016104,5
673,160.0,46000016511,2
674,160.0,46000017196,1
675,160.0,46000018073,1
676,160.0,46000018075,3
677,160.0,46000018079,1
678,160.0,46000018118,12
679,160.0,46000018498,1
680,160.0,46000018499,1
681,160.0,46000019851,1
682,160.0,46000020768,3
683,160.0,46000021385,2
684,160.0,46000022022,1
685,160.0,46000022419,1
686,160.0,46000024075,1
687,160.0,46000024076,3
688,160.0,46000024761,18
689,160.0,46000025411,2
690,160.0,46000028877,5
691,160.0,46000028908,2
692,160.0,46000028992,22
693,160.0,46000028993,21
694,160.0,46000028994,7
695,160.0,46000028995,14
696,160.0,46000028996,23
697,160.0,46000029060,4
698,160.0,46000029434,11
699,160.0,46000029438,1
700,160.0,46000055714,1
701,160.0,46000055729,2
702,160.0,46000055733,5
703,160.0,46000055736,9
